NEIGHBORHOOD,SALE_PRICE_TO_SQUARE_FOOT_RATIO,BOROUGH,NUM_TRANSACTIONS_PER_BOROUGH,BOROUGH_SIZE,TRANSACTIONS_TO_SIZE_RATIO,YEAR_BUILT,MEDIAN_SALES_PRICE
ROSSVILLE-RICHMOND VALLEY,239.3617021,5,8410,58.69,143.2952803,1994,650000
SCHUYLERVILLE/PELHAM BAY,246.6501241,2,7049,42.47,165.975983,1935,470000
SEAGATE,302.3663453,3,24047,69.5,346,1930,667500
SHEEPSHEAD BAY,420.6544084,3,24047,69.5,346,1953,480636
SILVER LAKE,333.4980237,5,8410,58.69,143.2952803,1935,530450
SO. JAMAICA-BAISLEY PARK,300,4,26736,108.1,247.3265495,1930,375000
SOHO,1631.232361,1,18306,22.82,802.1910605,1920,2800187
SOUNDVIEW,187.9009434,2,7049,42.47,165.975983,1935,380000
SOUTH BEACH,357.7272727,5,8410,58.69,143.2952803,1965,472500
SOUTH JAMAICA,284.4753086,4,26736,108.1,247.3265495,1925,400000
SOUTH OZONE PARK,342.9026697,4,26736,108.1,247.3265495,1930,460000
SOUTHBRIDGE,611.4633283,1,18306,22.82,802.1910605,1971,999000
SPRING CREEK,261.3113325,3,24047,69.5,346,2016,419666
SPRINGFIELD GARDENS,290.5982906,4,26736,108.1,247.3265495,1940,430000
ST. ALBANS,272.4132448,4,26736,108.1,247.3265495,1930,409000
STAPLETON,208.5404241,5,8410,58.69,143.2952803,1925,324500
STAPLETON-CLIFTON,228.064117,5,8410,58.69,143.2952803,2015,406512
SUNNYSIDE,421.1099755,4,26736,108.1,247.3265495,1937,405000
SUNSET PARK,481.4814815,3,24047,69.5,346,1920,990000
THROGS NECK,265.3861545,2,7049,42.47,165.975983,1950,430000
TODT HILL,317.99591,5,8410,58.69,143.2952803,1967.5,1050000
TOMPKINSVILLE,275.7352941,5,8410,58.69,143.2952803,1942,375000
TOTTENVILLE,314.4736842,5,8410,58.69,143.2952803,1990,580000
