NEIGHBORHOOD,SALE_PRICE_TO_SQUARE_FOOT_RATIO,BOROUGH,NUM_TRANSACTIONS_PER_BOROUGH,BOROUGH_SIZE,TRANSACTIONS_TO_SIZE_RATIO,YEAR_BUILT
HARLEM-CENTRAL,530.8641975,1,18306,22.82,802.1910605,1926
HARLEM-EAST,496.7564573,1,18306,22.82,802.1910605,1920
HARLEM-UPPER,528.4708494,1,18306,22.82,802.1910605,1920
HARLEM-WEST,390.772851,1,18306,22.82,802.1910605,1907.5
HIGHBRIDGE/MORRIS HEIGHTS,166.6666667,2,7049,42.47,165.975983,1927
HILLCREST,479.6875,4,26736,108.1,247.3265495,1947
HOLLIS,293.4782609,4,26736,108.1,247.3265495,1928
HOLLIS HILLS,535.7142857,4,26736,108.1,247.3265495,1955
HOLLISWOOD,429.0876242,4,26736,108.1,247.3265495,1953
HOWARD BEACH,313.1868132,4,26736,108.1,247.3265495,1960
HUGUENOT,287.6051319,5,8410,58.69,143.2952803,1975
HUNTS POINT,186.9909148,2,7049,42.47,165.975983,1931
INWOOD,286.5410074,1,18306,22.82,802.1910605,1938
JACKSON HEIGHTS,409.7432506,4,26736,108.1,247.3265495,1940
JAMAICA,316.8121897,4,26736,108.1,247.3265495,1940
JAMAICA BAY,209.0301003,3,24047,69.5,346,1920
JAMAICA ESTATES,523.3853007,4,26736,108.1,247.3265495,1940
JAMAICA HILLS,389.6909774,4,26736,108.1,247.3265495,1930
JAVITS CENTER,942.8571429,1,18306,22.82,802.1910605,1930
KENSINGTON,532.0121951,3,24047,69.5,346,1935
KEW GARDENS,440.8128209,4,26736,108.1,247.3265495,1951
KINGSBRIDGE HTS/UNIV HTS,172.7272727,2,7049,42.47,165.975983,1941
KINGSBRIDGE/JEROME PARK,238.3658009,2,7049,42.47,165.975983,1955
KIPS BAY,1182.471524,1,18306,22.82,802.1910605,1984
LAURELTON,298.9398907,4,26736,108.1,247.3265495,1935
LITTLE ITALY,1035.986914,1,18306,22.82,802.1910605,1910
LITTLE NECK,526.6808429,4,26736,108.1,247.3265495,1952
LIVINGSTON,297.6190476,5,8410,58.69,143.2952803,1935
LONG ISLAND CITY,538.2711956,4,26736,108.1,247.3265495,2006
LOWER EAST SIDE,1054.216867,1,18306,22.82,802.1910605,1955
MADISON,492.7884615,3,24047,69.5,346,1930
MANHATTAN BEACH,630.8411215,3,24047,69.5,346,1940
MANHATTAN VALLEY,621.7765043,1,18306,22.82,802.1910605,1960
MANOR HEIGHTS,345.6959707,5,8410,58.69,143.2952803,1970
MARINE PARK,462.4819625,3,24047,69.5,346,1930
MARINERS HARBOR,233.967161,5,8410,58.69,143.2952803,1960
MASPETH,426.0643988,4,26736,108.1,247.3265495,1935
MELROSE/CONCOURSE,175.2966559,2,7049,42.47,165.975983,1927
MIDDLE VILLAGE,477.9411765,4,26736,108.1,247.3265495,1940
MIDLAND BEACH,321.969697,5,8410,58.69,143.2952803,1979
MIDTOWN CBD,1235.108968,1,18306,22.82,802.1910605,1975
MIDTOWN EAST,1185.344828,1,18306,22.82,802.1910605,1963
MIDTOWN WEST,0.442179885,1,18306,22.82,802.1910605,1978
MIDWOOD,543.3267126,3,24047,69.5,346,1925
MILL BASIN,407.8341014,3,24047,69.5,346,1960
MORRIS PARK/VAN NEST,254.0230042,2,7049,42.47,165.975983,1931.5
MORRISANIA/LONGWOOD,176.7676768,2,7049,42.47,165.975983,1925
MOTT HAVEN/PORT MORRIS,246.2121212,2,7049,42.47,165.975983,1922.5
MOUNT HOPE/MOUNT EDEN,180.5229107,2,7049,42.47,165.975983,1920
MURRAY HILL,1006.097561,1,18306,22.82,802.1910605,1959
NAVY YARD,905.6881431,3,24047,69.5,346,2014
NEPONSIT,478.8224326,4,26736,108.1,247.3265495,1930
NEW BRIGHTON,205.1284983,5,8410,58.69,143.2952803,1920
NEW BRIGHTON-ST. GEORGE,589.7465706,5,8410,58.69,143.2952803,1963
NEW DORP,373.9837398,5,8410,58.69,143.2952803,1955
NEW DORP-BEACH,303.2407407,5,8410,58.69,143.2952803,1970
NEW DORP-HEIGHTS,369.4605263,5,8410,58.69,143.2952803,1965
NEW SPRINGVILLE,283.5183228,5,8410,58.69,143.2952803,1980
OAKLAND GARDENS,573.5354363,4,26736,108.1,247.3265495,1952
OAKWOOD,385.7315599,5,8410,58.69,143.2952803,1965
OAKWOOD-BEACH,341.352983,5,8410,58.69,143.2952803,1970
OCEAN HILL,306.9071146,3,24047,69.5,346,1910
OCEAN PARKWAY-NORTH,557.5284091,3,24047,69.5,346,1930
OCEAN PARKWAY-SOUTH,460.8585859,3,24047,69.5,346,1938
OLD MILL BASIN,341.1478228,3,24047,69.5,346,1930
OZONE PARK,323.5294118,4,26736,108.1,247.3265495,1930
PARK SLOPE,987.5771605,3,24047,69.5,346,1920
PARK SLOPE SOUTH,849.0412979,3,24047,69.5,346,1901
PARKCHESTER,196.9178082,2,7049,42.47,165.975983,1925.5
PELHAM BAY,0.002325581,2,7049,42.47,165.975983,1961
PELHAM GARDENS,278.4487386,2,7049,42.47,165.975983,1950
PELHAM PARKWAY NORTH,250,2,7049,42.47,165.975983,1950
PELHAM PARKWAY SOUTH,290.0086505,2,7049,42.47,165.975983,1940
PLEASANT PLAINS,311.6541353,5,8410,58.69,143.2952803,1994
PORT IVORY,217.7399328,5,8410,58.69,143.2952803,1987
PORT RICHMOND,227.4096556,5,8410,58.69,143.2952803,1930
PRINCES BAY,319.5611111,5,8410,58.69,143.2952803,1997
PROSPECT HEIGHTS,810.1851852,3,24047,69.5,346,1940
QUEENS VILLAGE,326.3127652,4,26736,108.1,247.3265495,1930
RED HOOK,486.3333333,3,24047,69.5,346,1925
REGO PARK,510.0624157,4,26736,108.1,247.3265495,1952
RICHMOND HILL,312.6079545,4,26736,108.1,247.3265495,1920
RICHMONDTOWN,370.1546003,5,8410,58.69,143.2952803,1965
RICHMONDTOWN-LIGHTHS HILL,369.374754,5,8410,58.69,143.2952803,1965
RIDGEWOOD,356.5073716,4,26736,108.1,247.3265495,1930
RIVERDALE,409.4618284,2,7049,42.47,165.975983,1960
ROCKAWAY PARK,217.3913043,4,26736,108.1,247.3265495,1959
ROOSEVELT ISLAND,606.2439107,1,18306,22.82,802.1910605,1975
ROSEBANK,328.8248236,5,8410,58.69,143.2952803,1977
ROSEDALE,288.4615385,4,26736,108.1,247.3265495,1955
ROSSVILLE,297.457728,5,8410,58.69,143.2952803,1987
ROSSVILLE-CHARLESTON,280.4838596,5,8410,58.69,143.2952803,2001
ROSSVILLE-PORT MOBIL,281.25,5,8410,58.69,143.2952803,1995
ROSSVILLE-RICHMOND VALLEY,239.3617021,5,8410,58.69,143.2952803,1994
SCHUYLERVILLE/PELHAM BAY,246.6501241,2,7049,42.47,165.975983,1935
SEAGATE,302.3663453,3,24047,69.5,346,1930
SHEEPSHEAD BAY,420.6544084,3,24047,69.5,346,1953
SILVER LAKE,333.4980237,5,8410,58.69,143.2952803,1935
SO. JAMAICA-BAISLEY PARK,300,4,26736,108.1,247.3265495,1930
SOHO,1631.232361,1,18306,22.82,802.1910605,1920
SOUNDVIEW,187.9009434,2,7049,42.47,165.975983,1935
SOUTH BEACH,357.7272727,5,8410,58.69,143.2952803,1965
SOUTH JAMAICA,284.4753086,4,26736,108.1,247.3265495,1925
SOUTH OZONE PARK,342.9026697,4,26736,108.1,247.3265495,1930
SOUTHBRIDGE,611.4633283,1,18306,22.82,802.1910605,1971
SPRING CREEK,261.3113325,3,24047,69.5,346,2016
SPRINGFIELD GARDENS,290.5982906,4,26736,108.1,247.3265495,1940
ST. ALBANS,272.4132448,4,26736,108.1,247.3265495,1930
STAPLETON,208.5404241,5,8410,58.69,143.2952803,1925
STAPLETON-CLIFTON,228.064117,5,8410,58.69,143.2952803,2015
SUNNYSIDE,421.1099755,4,26736,108.1,247.3265495,1937
SUNSET PARK,481.4814815,3,24047,69.5,346,1920
THROGS NECK,265.3861545,2,7049,42.47,165.975983,1950
TODT HILL,317.99591,5,8410,58.69,143.2952803,1967.5
TOMPKINSVILLE,275.7352941,5,8410,58.69,143.2952803,1942
TOTTENVILLE,314.4736842,5,8410,58.69,143.2952803,1990
TRAVIS,276.4395299,5,8410,58.69,143.2952803,1990
TRIBECA,1130.057005,1,18306,22.82,802.1910605,1930
UPPER EAST SIDE (59-79),1806.25,1,18306,22.82,802.1910605,1959
UPPER EAST SIDE (79-96),1117.254262,1,18306,22.82,802.1910605,1961
UPPER EAST SIDE (96-110),319.0572613,1,18306,22.82,802.1910605,1926
UPPER WEST SIDE (59-79),981.8181818,1,18306,22.82,802.1910605,1962
UPPER WEST SIDE (79-96),1112.080244,1,18306,22.82,802.1910605,1927
UPPER WEST SIDE (96-116),724.8858447,1,18306,22.82,802.1910605,1923
WAKEFIELD,224.609375,2,7049,42.47,165.975983,1930
WASHINGTON HEIGHTS LOWER,413.009809,1,18306,22.82,802.1910605,1920
WASHINGTON HEIGHTS UPPER,344.3176258,1,18306,22.82,802.1910605,1939
WEST NEW BRIGHTON,237.4604087,5,8410,58.69,143.2952803,1935
WESTCHESTER,203.2277346,2,7049,42.47,165.975983,1926
WESTERLEIGH,357.1428571,5,8410,58.69,143.2952803,1955
WHITESTONE,554.4147844,4,26736,108.1,247.3265495,1951
WILLIAMSBRIDGE,196.7592593,2,7049,42.47,165.975983,1935
WILLIAMSBURG-CENTRAL,461.3095238,3,24047,69.5,346,2003
WILLIAMSBURG-EAST,659.0909091,3,24047,69.5,346,1931
WILLIAMSBURG-NORTH,890.5054559,3,24047,69.5,346,2007
WILLIAMSBURG-SOUTH,658.0645161,3,24047,69.5,346,2009
WILLOWBROOK,357.8756015,5,8410,58.69,143.2952803,1975
WINDSOR TERRACE,796.3594994,3,24047,69.5,346,1925
WOODHAVEN,343.2377049,4,26736,108.1,247.3265495,1920
WOODLAWN,256.098176,2,7049,42.47,165.975983,1930
WOODROW,305.500672,5,8410,58.69,143.2952803,1992
WOODSIDE,407.1149194,4,26736,108.1,247.3265495,1940
WYCKOFF HEIGHTS,373.2193732,3,24047,69.5,346,1931
